#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
CMU002443F	CMU001072F	CMU000401F	80.20	80.59	HAPLOTIG
CMU002444F	CMU000850F	CMU001349F	99.93	3376.30	REPEAT
CMU002446F	CMU000579F	CMU000019F	99.94	101.23	HAPLOTIG
CMU002447F	CMU000370F	CMU000012F	74.28	277.96	REPEAT
CMU002449F	CMU000333F	CMU000092F	99.95	100.21	HAPLOTIG
CMU002451F	CMU000381F	CMU000006F	99.95	167.80	HAPLOTIG
CMU002452F	CMU002341F	CMU000139F	100.00	104.28	HAPLOTIG
CMU002453F	CMU000060F	CMU000398F	90.47	103.48	HAPLOTIG
CMU002454F	CMU001372F	CMU000024F	97.20	102.94	HAPLOTIG
CMU002455F	CMU000125F	CMU000019F	96.53	110.69	HAPLOTIG
CMU002456F	CMU000413F	CMU000096F	99.93	242.33	HAPLOTIG
CMU002458F	CMU000180F	CMU001995F	80.12	107.92	HAPLOTIG
CMU002459F	CMU000623F	CMU000010F	99.59	182.05	HAPLOTIG
CMU002462F	CMU000570F	CMU001018F	82.86	191.71	HAPLOTIG
CMU002463F	CMU000733F	CMU000012F	100.00	268.18	REPEAT
CMU002464F	CMU000341F	CMU000092F	100.00	117.94	HAPLOTIG
CMU002468F	CMU000199F	CMU000956F	82.44	315.56	REPEAT
CMU002470F	CMU000850F	CMU001349F	99.95	3743.87	REPEAT
CMU002472F	CMU000443F	CMU000019F	99.68	745.38	REPEAT
CMU002473F	CMU000055F	CMU000010F	100.00	158.63	HAPLOTIG
CMU002474F	CMU000850F	CMU001349F	100.00	2893.43	REPEAT
CMU002475F	CMU000217F	CMU000002F	99.96	122.56	HAPLOTIG
CMU002476F	CMU000366F	CMU000802F	99.98	174.20	HAPLOTIG
CMU002477F	CMU001188F	CMU000182F	92.04	132.86	HAPLOTIG
CMU002478F	CMU000048F	CMU000525F	99.98	102.57	HAPLOTIG
CMU002479F	CMU000253F	CMU001345F	99.76	214.64	HAPLOTIG
CMU002480F	CMU000882F	CMU000015F	99.97	150.06	HAPLOTIG
CMU002481F	CMU000319F	CMU000031F	99.97	113.83	HAPLOTIG
CMU002483F	CMU000466F	CMU000301F	89.12	2256.38	REPEAT
CMU002484F	CMU000122F	CMU000012F	99.93	546.57	REPEAT
CMU002485F	CMU000398F	CMU001088F	100.00	487.08	REPEAT
CMU002486F	CMU000372F	CMU000516F	99.98	126.39	HAPLOTIG
CMU002487F	CMU000451F	CMU000142F	99.99	110.97	HAPLOTIG
CMU002488F	CMU000610F	CMU000019F	100.00	523.11	REPEAT
CMU002489F	CMU001424F	CMU001198F	99.94	180.93	HAPLOTIG
CMU002490F	CMU000021F	CMU000002F	99.99	133.89	HAPLOTIG
CMU002492F	CMU000565F	CMU000410F	99.99	417.00	REPEAT
CMU002493F	CMU000850F	CMU000357F	99.96	115.64	HAPLOTIG
CMU002495F	CMU000946F	CMU000065F	100.00	150.44	HAPLOTIG
CMU002498F	CMU000559F	CMU000019F	99.99	141.10	HAPLOTIG
CMU002499F	CMU000102F	CMU000081F	100.00	101.99	HAPLOTIG
CMU002500F	CMU000549F	CMU000204F	99.98	117.62	HAPLOTIG
CMU002501F	CMU000681F	CMU000425F	100.00	123.23	HAPLOTIG
CMU002502F	CMU001666F	CMU000037F	82.35	112.55	HAPLOTIG
CMU002503F	CMU000850F	CMU001349F	100.00	2120.48	REPEAT
CMU002505F	CMU000228F	CMU000698F	99.99	104.64	HAPLOTIG
CMU002506F	CMU000426F	CMU000586F	92.26	205.23	HAPLOTIG
CMU002507F	CMU002165F	CMU000037F	81.51	282.33	REPEAT
CMU002508F	CMU000195F	CMU000144F	93.95	152.73	HAPLOTIG
CMU002509F	CMU000134F	CMU000163F	99.73	114.48	HAPLOTIG
CMU002510F	CMU001185F	CMU000010F	94.50	411.86	REPEAT
CMU002511F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002512F	CMU001132F	CMU000218F	99.73	280.51	REPEAT
CMU002514F	CMU001031F	CMU000067F	99.36	99.88	HAPLOTIG
CMU002515F	CMU001068F	CMU000106F	100.00	132.94	HAPLOTIG
CMU002516F	CMU000362F	CMU000838F	99.95	144.51	HAPLOTIG
CMU002517F	CMU000076F	CMU000054F	99.99	173.08	HAPLOTIG
CMU002518F	CMU001259F	CMU000015F	100.00	145.46	HAPLOTIG
CMU002520F	CMU000850F	CMU001349F	99.88	1295.89	REPEAT
CMU002521F	CMU000149F	CMU000011F	100.00	101.67	HAPLOTIG
CMU002523F	CMU000087F	CMU000739F	98.28	137.99	HAPLOTIG
CMU002524F	CMU001571F	CMU000295F	99.87	109.50	HAPLOTIG
CMU002525F	CMU002077F	CMU002576F	100.00	100.00	HAPLOTIG
CMU002526F	CMU000971F	CMU000208F	99.97	110.57	HAPLOTIG
CMU002528F	CMU001978F	CMU000199F	99.41	109.08	HAPLOTIG
CMU002529F	CMU000656F	CMU000061F	93.87	96.63	HAPLOTIG
CMU002530F	CMU000109F	CMU000956F	99.95	102.68	HAPLOTIG
CMU002531F	CMU000615F	CMU000143F	100.00	241.71	HAPLOTIG
CMU002532F	CMU000855F	CMU000012F	84.36	184.76	HAPLOTIG
CMU002533F	CMU000197F	CMU000024F	100.00	162.53	HAPLOTIG
CMU002536F	CMU000822F	CMU000006F	99.96	131.60	HAPLOTIG
CMU002538F	CMU000903F	CMU000126F	100.00	123.98	HAPLOTIG
CMU002539F	CMU000014F	CMU000034F	75.45	367.30	REPEAT
CMU002540F	CMU000077F	CMU001963F	99.95	115.14	HAPLOTIG
CMU002541F	CMU001388F	CMU000338F	99.95	188.41	HAPLOTIG
CMU002542F	CMU000019F	CMU000000F	100.00	261.95	REPEAT
CMU002544F	CMU002978F	CMU001968F	99.94	101.13	HAPLOTIG
CMU002545F	CMU001853F	CMU000010F	76.30	97.51	HAPLOTIG
CMU002548F	CMU000106F	CMU001225F	99.95	249.04	HAPLOTIG
CMU002549F	CMU001064F	CMU000135F	99.13	162.05	HAPLOTIG
CMU002550F	CMU000417F	CMU000350F	100.00	514.94	REPEAT
CMU002551F	CMU000071F	CMU000127F	100.00	133.78	HAPLOTIG
CMU002552F	CMU001617F	CMU000180F	100.00	143.49	HAPLOTIG
CMU002553F	CMU000850F	CMU001349F	100.00	3145.70	REPEAT
CMU002554F	CMU000233F	CMU000720F	99.73	612.89	REPEAT
CMU002555F	CMU000134F	CMU000092F	99.97	127.58	HAPLOTIG
CMU002556F	CMU000357F	CMU000019F	99.99	479.31	REPEAT
CMU002557F	CMU000234F	CMU000202F	100.00	125.71	HAPLOTIG
CMU002559F	CMU000956F	CMU000019F	99.91	231.00	HAPLOTIG
CMU002561F	CMU000417F	CMU000350F	100.00	498.26	REPEAT
CMU002562F	CMU000922F	CMU000091F	100.00	188.39	HAPLOTIG
CMU002563F	CMU000133F	CMU000019F	99.98	103.31	HAPLOTIG
CMU002564F	CMU001108F	CMU000012F	99.82	160.19	HAPLOTIG
CMU002566F	CMU000446F	CMU001265F	99.02	385.94	REPEAT
CMU002567F	CMU000812F	CMU000014F	100.00	128.87	HAPLOTIG
CMU002568F	CMU000090F	CMU000037F	99.97	115.84	HAPLOTIG
CMU002569F	CMU000431F	CMU000034F	99.22	210.46	HAPLOTIG
CMU002570F	CMU000019F	CMU000301F	99.98	2908.95	REPEAT
CMU002571F	CMU001963F	CMU000019F	100.00	314.75	REPEAT
CMU002573F	CMU000957F	CMU001148F	100.00	197.14	HAPLOTIG
CMU002574F	CMU000260F	CMU000019F	99.95	104.40	HAPLOTIG
CMU002575F	CMU000022F	CMU000110F	99.99	144.62	HAPLOTIG
CMU002577F	CMU000090F	CMU000019F	97.88	213.85	HAPLOTIG
CMU002578F	CMU002426F	CMU000824F	99.52	115.26	HAPLOTIG
CMU002579F	CMU001753F	CMU000528F	96.79	133.99	HAPLOTIG
CMU002580F	CMU000856F	CMU000019F	99.99	110.22	HAPLOTIG
CMU002581F	CMU000952F	CMU000554F	98.93	99.92	HAPLOTIG
CMU002582F	CMU000121F	CMU000014F	99.69	357.03	REPEAT
CMU002583F	CMU000287F	CMU000166F	99.95	119.26	HAPLOTIG
CMU002584F	CMU001342F	CMU000001F	96.22	98.31	HAPLOTIG
CMU002586F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002587F	CMU001090F	CMU000055F	100.00	275.19	REPEAT
CMU002589F	CMU001512F	CMU000064F	100.00	147.37	HAPLOTIG
CMU002590F	CMU001835F	CMU000143F	99.97	101.59	HAPLOTIG
CMU002591F	CMU000372F	CMU000102F	99.98	142.90	HAPLOTIG
CMU002593F	CMU002187F	CMU000177F	82.84	152.29	HAPLOTIG
CMU002597F	CMU001963F	CMU000019F	99.98	307.30	REPEAT
CMU002598F	CMU001133F	CMU003348F	99.94	130.00	HAPLOTIG
CMU002600F	CMU001105F	CMU000012F	98.98	153.95	HAPLOTIG
CMU002601F	CMU000712F	CMU001817F	97.73	103.35	HAPLOTIG
CMU002602F	CMU000885F	CMU000956F	99.95	155.85	HAPLOTIG
CMU002603F	CMU000803F	CMU000012F	100.00	150.82	HAPLOTIG
CMU002605F	CMU000007F	CMU001191F	99.97	99.97	HAPLOTIG
CMU002606F	CMU000064F	CMU000026F	99.99	111.21	HAPLOTIG
CMU002607F	CMU001963F	CMU000019F	100.00	430.48	REPEAT
CMU002608F	CMU000017F	CMU000544F	99.72	107.20	HAPLOTIG
CMU002610F	CMU000667F	CMU000055F	99.89	272.63	REPEAT
CMU002611F	CMU000598F	CMU000026F	99.74	218.15	HAPLOTIG
CMU002612F	CMU000335F	CMU000378F	100.00	100.08	HAPLOTIG
CMU002614F	CMU000929F	CMU000554F	99.99	101.55	HAPLOTIG
CMU002616F	CMU000417F	CMU000463F	99.44	140.10	HAPLOTIG
CMU002617F	CMU000950F	CMU000092F	99.95	354.31	REPEAT
CMU002619F	CMU000253F	CMU000019F	99.98	124.61	HAPLOTIG
CMU002620F	CMU000620F	CMU000026F	99.67	319.29	REPEAT
CMU002621F	CMU000133F	CMU000006F	99.98	100.00	HAPLOTIG
CMU002622F	CMU000554F	CMU000349F	99.39	484.94	REPEAT
CMU002624F	CMU000202F	CMU000002F	99.87	105.09	HAPLOTIG
CMU002625F	CMU000754F	CMU000012F	99.86	142.86	HAPLOTIG
CMU002626F	CMU000835F	CMU000155F	99.33	248.80	HAPLOTIG
CMU002627F	CMU000143F	CMU000128F	100.00	116.49	HAPLOTIG
CMU002628F	CMU000706F	CMU000012F	99.94	113.55	HAPLOTIG
CMU002629F	CMU002494F	CMU000012F	92.94	199.63	HAPLOTIG
CMU002630F	CMU002839F	CMU002989F	97.74	2838.42	REPEAT
CMU002631F	CMU000950F	CMU000092F	99.95	315.27	REPEAT
CMU002632F	CMU000452F	CMU001184F	99.93	243.48	HAPLOTIG
CMU002633F	CMU000134F	CMU001442F	99.24	246.53	HAPLOTIG
CMU002637F	CMU000734F	CMU001985F	98.54	104.28	HAPLOTIG
CMU002638F	CMU000799F	CMU000007F	99.73	186.10	HAPLOTIG
CMU002639F	CMU000620F	CMU000026F	100.00	302.36	REPEAT
CMU002640F	CMU000027F	CMU000007F	100.00	136.17	HAPLOTIG
CMU002642F	CMU000794F	CMU000527F	99.89	119.01	HAPLOTIG
CMU002643F	CMU000667F	CMU000299F	86.10	195.45	HAPLOTIG
CMU002644F	CMU000154F	CMU000026F	94.39	146.34	HAPLOTIG
CMU002647F	CMU001426F	CMU000018F	100.00	171.96	HAPLOTIG
CMU002648F	CMU001272F	CMU000000F	80.31	84.97	HAPLOTIG
CMU002650F	CMU000827F	CMU000602F	100.00	172.83	HAPLOTIG
CMU002651F	CMU000209F	CMU000979F	100.00	201.26	HAPLOTIG
CMU002652F	CMU000308F	CMU000017F	100.00	223.24	HAPLOTIG
CMU002653F	CMU000589F	CMU000956F	100.00	123.49	HAPLOTIG
CMU002654F	CMU000708F	CMU000356F	72.82	378.04	REPEAT
CMU002655F	CMU000973F	CMU000012F	93.58	95.89	HAPLOTIG
CMU002656F	CMU000549F	CMU000474F	100.00	117.93	HAPLOTIG
CMU002657F	CMU000730F	CMU000370F	99.89	152.04	HAPLOTIG
CMU002658F	CMU000674F	CMU000014F	99.98	235.40	HAPLOTIG
CMU002659F	CMU001041F	CMU000019F	99.98	106.34	HAPLOTIG
CMU002660F	CMU000360F	CMU000019F	85.94	105.09	HAPLOTIG
CMU002661F	CMU000306F	CMU000070F	99.78	105.54	HAPLOTIG
CMU002662F	CMU000725F	CMU000601F	100.00	135.33	HAPLOTIG
CMU002663F	CMU000421F	CMU000017F	99.89	389.12	REPEAT
CMU002664F	CMU000042F	CMU000033F	99.99	145.28	HAPLOTIG
CMU002665F	CMU002436F	CMU000505F	99.95	203.43	HAPLOTIG
CMU002667F	CMU002141F	CMU000007F	100.00	236.88	HAPLOTIG
CMU002669F	CMU000192F	CMU000282F	99.70	133.17	HAPLOTIG
CMU002670F	CMU000349F	CMU000554F	100.00	536.11	REPEAT
CMU002671F	CMU001983F	CMU000061F	100.00	100.44	HAPLOTIG
CMU002673F	CMU000422F	CMU000500F	91.55	123.76	HAPLOTIG
CMU002674F	CMU000656F	CMU000152F	99.97	100.43	HAPLOTIG
CMU002677F	CMU000018F	CMU000359F	99.96	251.27	REPEAT
CMU002678F	CMU001610F	CMU000034F	98.49	260.55	REPEAT
CMU002679F	CMU000935F	CMU000225F	91.78	102.81	HAPLOTIG
CMU002680F	CMU000293F	CMU000566F	99.99	100.91	HAPLOTIG
CMU002681F	CMU000943F	CMU000297F	99.96	111.63	HAPLOTIG
CMU002682F	CMU000298F	CMU000026F	99.93	173.81	HAPLOTIG
CMU002683F	CMU001277F	CMU000031F	100.00	112.47	HAPLOTIG
CMU002684F	CMU000106F	CMU000002F	100.00	119.68	HAPLOTIG
CMU002685F	CMU000904F	CMU000288F	99.92	122.30	HAPLOTIG
CMU002686F	CMU000970F	CMU000019F	100.00	104.40	HAPLOTIG
CMU002687F	CMU001963F	CMU000019F	99.99	311.24	REPEAT
CMU002688F	CMU000207F	CMU000143F	100.00	123.23	HAPLOTIG
CMU002689F	CMU000302F	CMU001006F	99.97	316.25	REPEAT
CMU002690F	CMU000821F	CMU000295F	100.00	249.63	HAPLOTIG
CMU002691F	CMU001661F	CMU000012F	100.00	242.79	HAPLOTIG
CMU002693F	CMU000381F	CMU000176F	100.00	200.27	HAPLOTIG
CMU002695F	CMU000107F	CMU000034F	99.91	177.92	HAPLOTIG
CMU002697F	CMU000310F	CMU000000F	97.22	143.09	HAPLOTIG
CMU002698F	CMU000524F	CMU000015F	100.00	106.95	HAPLOTIG
CMU002700F	CMU001833F	CMU000527F	100.00	127.04	HAPLOTIG
CMU002701F	CMU001526F	CMU000656F	99.99	166.42	HAPLOTIG
CMU002702F	CMU000526F	CMU002968F	99.99	114.13	HAPLOTIG
CMU002703F	CMU000120F	CMU000718F	99.97	128.65	HAPLOTIG
CMU002704F	CMU002005F	CMU000018F	99.90	120.95	HAPLOTIG
CMU002705F	CMU002694F	CMU000021F	98.59	199.39	HAPLOTIG
CMU002706F	CMU001455F	CMU002045F	100.00	132.35	HAPLOTIG
CMU002707F	CMU000314F	CMU000102F	99.46	148.79	HAPLOTIG
CMU002709F	CMU001487F	CMU000431F	99.98	154.14	HAPLOTIG
CMU002710F	CMU002270F	CMU002214F	90.24	90.24	HAPLOTIG
CMU002711F	CMU000988F	CMU000476F	99.88	140.31	HAPLOTIG
CMU002712F	CMU000318F	CMU000129F	100.00	242.50	HAPLOTIG
CMU002713F	CMU001218F	CMU000450F	99.73	334.92	REPEAT
CMU002714F	CMU001097F	CMU000002F	98.50	142.89	HAPLOTIG
CMU002715F	CMU000711F	CMU000724F	100.00	172.67	HAPLOTIG
CMU002716F	CMU001110F	CMU000195F	99.91	116.09	HAPLOTIG
CMU002717F	CMU001699F	CMU000018F	99.96	144.44	HAPLOTIG
CMU002718F	CMU000396F	CMU000378F	99.99	691.57	REPEAT
CMU002719F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002720F	CMU001485F	CMU000012F	91.94	178.85	HAPLOTIG
CMU002721F	CMU001963F	CMU000019F	99.91	395.15	REPEAT
CMU002722F	CMU000161F	CMU000449F	99.98	127.20	HAPLOTIG
CMU002723F	CMU001661F	CMU000012F	100.00	233.31	HAPLOTIG
CMU002724F	CMU002044F	CMU000911F	100.00	1204.55	REPEAT
CMU002725F	CMU001046F	CMU000243F	97.93	112.90	HAPLOTIG
CMU002726F	CMU000684F	CMU000155F	100.00	102.88	HAPLOTIG
CMU002727F	CMU000302F	CMU001254F	99.94	257.75	REPEAT
CMU002729F	CMU001012F	CMU000761F	95.34	209.23	HAPLOTIG
CMU002730F	CMU002075F	CMU000051F	99.98	269.41	REPEAT
CMU002731F	CMU000079F	CMU000081F	99.99	1279.77	REPEAT
CMU002732F	CMU000352F	CMU001285F	99.98	107.72	HAPLOTIG
CMU002733F	CMU000464F	CMU000012F	99.99	115.35	HAPLOTIG
CMU002735F	CMU000128F	CMU000029F	97.02	305.15	REPEAT
CMU002736F	CMU000014F	CMU000012F	85.58	207.68	HAPLOTIG
CMU002738F	CMU000184F	CMU000956F	99.96	128.25	HAPLOTIG
CMU002739F	CMU001911F	CMU000026F	79.25	121.38	HAPLOTIG
CMU002740F	CMU000065F	CMU002264F	96.33	232.07	HAPLOTIG
CMU002745F	CMU000099F	CMU001620F	99.97	174.42	HAPLOTIG
CMU002746F	CMU001269F	CMU000689F	99.95	129.25	HAPLOTIG
CMU002747F	CMU000161F	CMU000019F	100.00	104.97	HAPLOTIG
CMU002748F	CMU001158F	CMU000398F	97.40	100.09	HAPLOTIG
CMU002750F	CMU001416F	CMU000049F	100.00	107.28	HAPLOTIG
CMU002752F	CMU000598F	CMU000494F	99.96	261.08	REPEAT
CMU002753F	CMU000827F	CMU000021F	100.00	1013.68	REPEAT
CMU002755F	CMU000202F	CMU000223F	99.96	99.98	HAPLOTIG
CMU002757F	CMU000262F	CMU000199F	99.98	133.23	HAPLOTIG
CMU002758F	CMU001701F	CMU000141F	78.95	92.62	HAPLOTIG
CMU002759F	CMU002121F	CMU000000F	98.33	155.95	HAPLOTIG
CMU002761F	CMU000596F	CMU000012F	94.73	353.46	REPEAT
CMU002762F	CMU000331F	CMU000073F	99.64	165.62	HAPLOTIG
CMU002764F	CMU000122F	CMU000894F	99.98	230.35	HAPLOTIG
CMU002765F	CMU002760F	CMU000009F	99.97	168.39	HAPLOTIG
CMU002766F	CMU000128F	CMU000031F	100.00	177.32	HAPLOTIG
CMU002767F	CMU000223F	CMU000057F	99.38	155.57	HAPLOTIG
CMU002768F	CMU001264F	CMU000096F	99.33	161.11	HAPLOTIG
CMU002769F	CMU000879F	CMU002871F	99.70	139.85	HAPLOTIG
CMU002770F	CMU001354F	CMU000007F	91.93	108.93	HAPLOTIG
CMU002772F	CMU001016F	CMU000199F	100.00	226.67	HAPLOTIG
CMU002773F	CMU000144F	CMU000070F	80.29	185.23	HAPLOTIG
CMU002775F	CMU000748F	CMU000005F	96.64	96.83	HAPLOTIG
CMU002777F	CMU000757F	CMU001342F	99.96	158.52	HAPLOTIG
CMU002779F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002781F	CMU000590F	CMU000085F	99.92	103.41	HAPLOTIG
CMU002782F	CMU000019F	CMU000031F	99.99	122.85	HAPLOTIG
CMU002784F	CMU000303F	CMU000012F	94.88	196.47	HAPLOTIG
CMU002787F	CMU000929F	CMU001353F	100.00	119.35	HAPLOTIG
CMU002788F	CMU000606F	CMU000495F	94.54	111.15	HAPLOTIG
CMU002789F	CMU000223F	CMU000012F	99.88	353.16	REPEAT
CMU002790F	CMU001441F	CMU000913F	99.93	203.80	HAPLOTIG
CMU002791F	CMU000054F	CMU000007F	99.96	108.58	HAPLOTIG
CMU002794F	CMU001408F	CMU000012F	95.92	224.44	HAPLOTIG
CMU002796F	CMU000134F	CMU001442F	77.22	143.31	HAPLOTIG
CMU002799F	CMU002338F	CMU000199F	100.00	157.59	HAPLOTIG
CMU002800F	CMU000405F	CMU000495F	98.51	139.42	HAPLOTIG
CMU002801F	CMU001216F	CMU000002F	100.00	162.05	HAPLOTIG
CMU002803F	CMU002839F	CMU002989F	80.00	4600.00	REPEAT
CMU002805F	CMU000675F	CMU000096F	89.05	102.03	HAPLOTIG
CMU002806F	CMU000769F	CMU000000F	97.05	116.92	HAPLOTIG
CMU002807F	CMU000243F	CMU000014F	84.74	309.50	REPEAT
CMU002808F	CMU001247F	CMU000019F	99.99	102.00	HAPLOTIG
CMU002809F	CMU000018F	CMU000404F	86.63	178.42	HAPLOTIG
CMU002811F	CMU000223F	CMU000089F	95.77	111.52	HAPLOTIG
CMU002813F	CMU000174F	CMU000189F	99.70	140.28	HAPLOTIG
CMU002814F	CMU000014F	CMU001102F	94.85	334.98	REPEAT
CMU002816F	CMU000134F	CMU000589F	99.98	175.88	HAPLOTIG
CMU002817F	CMU001396F	CMU000134F	99.98	107.83	HAPLOTIG
CMU002818F	CMU000797F	CMU000230F	96.28	187.57	HAPLOTIG
CMU002819F	CMU000895F	CMU000998F	100.00	857.71	REPEAT
CMU002820F	CMU000599F	CMU000027F	97.41	100.91	HAPLOTIG
CMU002821F	CMU001250F	CMU000012F	99.86	168.81	HAPLOTIG
CMU002822F	CMU000301F	CMU000014F	80.57	129.92	HAPLOTIG
CMU002823F	CMU000519F	CMU000019F	97.92	98.06	HAPLOTIG
CMU002826F	CMU000022F	CMU000822F	99.99	99.99	HAPLOTIG
CMU002827F	CMU000026F	CMU001163F	99.95	118.25	HAPLOTIG
CMU002829F	CMU000019F	CMU000304F	99.95	749.27	REPEAT
CMU002831F	CMU000800F	CMU000141F	99.92	199.31	HAPLOTIG
CMU002832F	CMU002061F	CMU000010F	84.04	88.42	HAPLOTIG
CMU002833F	CMU000988F	CMU000155F	99.94	380.22	REPEAT
CMU002834F	CMU000975F	CMU000018F	99.99	128.71	HAPLOTIG
CMU002835F	CMU000601F	CMU000019F	100.00	111.71	HAPLOTIG
CMU002836F	CMU000456F	CMU000519F	99.97	100.36	HAPLOTIG
CMU002842F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002843F	CMU000020F	CMU001399F	99.97	105.83	HAPLOTIG
CMU002845F	CMU001274F	CMU000956F	100.00	112.21	HAPLOTIG
CMU002846F	CMU001441F	CMU000012F	95.34	262.01	REPEAT
CMU002847F	CMU000369F	CMU000014F	99.90	217.10	HAPLOTIG
CMU002848F	CMU000302F	CMU001254F	99.96	310.50	REPEAT
CMU002849F	CMU000420F	CMU000019F	99.99	575.70	REPEAT
CMU002850F	CMU000647F	CMU000047F	100.00	204.67	HAPLOTIG
CMU002851F	CMU000367F	CMU000034F	100.00	113.60	HAPLOTIG
CMU002852F	CMU001377F	CMU000143F	100.00	521.95	REPEAT
CMU002854F	CMU000181F	CMU000006F	95.68	111.68	HAPLOTIG
CMU002855F	CMU000568F	CMU000006F	99.99	100.13	HAPLOTIG
CMU002856F	CMU001176F	CMU001145F	99.97	152.02	HAPLOTIG
CMU002857F	CMU000137F	CMU000061F	99.74	121.20	HAPLOTIG
CMU002859F	CMU000801F	CMU000000F	99.86	122.61	HAPLOTIG
CMU002861F	CMU000016F	CMU000077F	99.26	143.22	HAPLOTIG
CMU002862F	CMU000021F	CMU000027F	100.00	106.22	HAPLOTIG
CMU002863F	CMU000356F	CMU000185F	99.97	1038.63	REPEAT
CMU002864F	CMU000708F	CMU000356F	99.99	328.37	REPEAT
CMU002866F	CMU000737F	CMU000111F	99.97	140.64	HAPLOTIG
CMU002867F	CMU000167F	CMU000108F	99.96	105.63	HAPLOTIG
CMU002868F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002869F	CMU001301F	CMU000486F	100.00	126.28	HAPLOTIG
CMU002870F	CMU000350F	CMU000417F	100.00	558.02	REPEAT
CMU002872F	CMU001867F	CMU000159F	99.89	208.85	HAPLOTIG
CMU002873F	CMU000006F	CMU000002F	99.98	100.64	HAPLOTIG
CMU002874F	CMU000847F	CMU000019F	100.00	152.80	HAPLOTIG
CMU002875F	CMU000515F	CMU000012F	99.86	185.19	HAPLOTIG
CMU002876F	CMU000295F	CMU000012F	76.39	155.54	HAPLOTIG
CMU002878F	CMU000884F	CMU000091F	99.91	163.24	HAPLOTIG
CMU002880F	CMU000738F	CMU002291F	99.90	222.22	HAPLOTIG
CMU002881F	CMU001072F	CMU000037F	99.84	173.80	HAPLOTIG
CMU002882F	CMU000265F	CMU000027F	100.00	107.44	HAPLOTIG
CMU002883F	CMU000280F	CMU000037F	99.97	99.97	HAPLOTIG
CMU002884F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002885F	CMU002353F	CMU001952F	99.99	155.68	HAPLOTIG
CMU002886F	CMU000417F	CMU000350F	100.00	508.84	REPEAT
CMU002888F	CMU000037F	CMU001003F	88.76	544.05	REPEAT
CMU002891F	CMU000125F	CMU000398F	99.38	128.98	HAPLOTIG
CMU002893F	CMU000975F	CMU000083F	97.38	118.39	HAPLOTIG
CMU002894F	CMU000393F	CMU000357F	99.98	104.55	HAPLOTIG
CMU002895F	CMU000667F	CMU000055F	100.00	206.04	HAPLOTIG
CMU002896F	CMU000221F	CMU000012F	99.87	16960.91	REPEAT
CMU002897F	CMU002351F	CMU000012F	87.82	108.84	HAPLOTIG
CMU002900F	CMU001088F	CMU000895F	74.91	535.99	REPEAT
CMU002901F	CMU000734F	CMU000034F	98.33	159.27	HAPLOTIG
CMU002902F	CMU000288F	CMU000904F	100.00	151.64	HAPLOTIG
CMU002903F	CMU000067F	CMU000012F	99.99	121.51	HAPLOTIG
CMU002904F	CMU000284F	CMU000130F	99.99	109.16	HAPLOTIG
CMU002906F	CMU002081F	CMU001355F	99.55	114.50	HAPLOTIG
CMU002908F	CMU001593F	CMU000510F	76.37	87.87	HAPLOTIG
CMU002909F	CMU002839F	CMU002989F	100.00	2222.54	REPEAT
CMU002910F	CMU000709F	CMU001268F	79.18	215.09	HAPLOTIG
CMU002911F	CMU000762F	CMU000038F	99.98	100.25	HAPLOTIG
CMU002913F	CMU001867F	CMU001112F	99.54	145.40	HAPLOTIG
CMU002914F	CMU001206F	CMU001699F	73.17	146.60	HAPLOTIG
CMU002915F	CMU000314F	CMU000061F	94.13	94.15	HAPLOTIG
CMU002917F	CMU001309F	CMU000015F	100.00	164.11	HAPLOTIG
CMU002918F	CMU000028F	CMU000061F	99.98	100.31	HAPLOTIG
CMU002919F	CMU000019F	CMU000010F	99.88	414.29	REPEAT
CMU002920F	CMU000499F	CMU000002F	99.49	151.59	HAPLOTIG
CMU002921F	CMU000786F	CMU001054F	99.64	136.74	HAPLOTIG
CMU002923F	CMU000044F	CMU000203F	99.99	108.22	HAPLOTIG
CMU002925F	CMU001788F	CMU002646F	85.44	130.94	HAPLOTIG
CMU002926F	CMU000005F	CMU000001F	99.97	100.58	HAPLOTIG
CMU002927F	CMU000398F	CMU001088F	90.31	424.13	REPEAT
CMU002929F	CMU001114F	CMU001958F	80.31	269.87	REPEAT
CMU002930F	CMU000549F	CMU000293F	72.94	203.72	HAPLOTIG
CMU002931F	CMU000166F	CMU000012F	88.93	365.03	REPEAT
CMU002934F	CMU001356F	CMU000505F	95.72	127.56	HAPLOTIG
CMU002937F	CMU000548F	CMU000736F	100.00	574.11	REPEAT
CMU002938F	CMU000450F	CMU001083F	94.80	166.34	HAPLOTIG
CMU002939F	CMU000724F	CMU000463F	99.99	158.91	HAPLOTIG
CMU002941F	CMU001716F	CMU000468F	97.99	136.22	HAPLOTIG
CMU002942F	CMU000827F	CMU000021F	99.97	1088.32	REPEAT
CMU002943F	CMU001138F	CMU000019F	99.99	283.81	REPEAT
CMU002944F	CMU000019F	CMU000301F	87.53	2775.75	REPEAT
